"Dias desde o início da epidemia","#BR: Rio de Janeiro"
"Dia 1",0
"Dia 2",0
"Dia 3",0
"Dia 4",0
"Dia 5",0
"Dia 6",0
"Dia 7",0
"Dia 8",2
"Dia 9",3
"Dia 10",3
"Dia 11",4
"Dia 12",6
"Dia 13",8
"Dia 14",9
"Dia 15",10
"Dia 16",13
"Dia 17",17
"Dia 18",18
"Dia 19",23
"Dia 20",28
"Dia 21",41
"Dia 22",47
"Dia 23",58
"Dia 24",64
"Dia 25",71
"Dia 26",89
"Dia 27",106
"Dia 28",122
"Dia 29",147
"Dia 30",155
"Dia 31",170
"Dia 32",182
"Dia 33",224
"Dia 34",265
"Dia 35",301
"Dia 36",341
"Dia 37",387
"Dia 38",402
"Dia 39",422
"Dia 40",461
"Dia 41",490
"Dia 42",530
"Dia 43",570
"Dia 44",615
"Dia 45",645
"Dia 46",677
"Dia 47",738
"Dia 48",794
"Dia 49",854
"Dia 50",921
"Dia 51",971
"Dia 52",1019
"Dia 53",1065
"Dia 54",1123
"Dia 55",1205
"Dia 56",1394
"Dia 57",1503
"Dia 58",1653
"Dia 59",1714
"Dia 60",1770
"Dia 61",1928
"Dia 62",2050
"Dia 63",2247
"Dia 64",2438
"Dia 65",2614
"Dia 66",2715
"Dia 67",2852
"Dia 68",3079
"Dia 69",3237
"Dia 70",3412
"Dia 71",3657
"Dia 72",3905
"Dia 73",3993
"Dia 74",4105
"Dia 75",4361
"Dia 76",4605
"Dia 77",4856
"Dia 78",5079
"Dia 79",5277
"Dia 80",5344
"Dia 81",5462
"Dia 82",5686
"Dia 83",6010
"Dia 84",6327
"Dia 85",6473
"Dia 86",6639
"Dia 87",6707
"Dia 88",6781
"Dia 89",6928
"Dia 90",7138
"Dia 91",7363
"Dia 92",7417
"Dia 93",7592
"Dia 94",7672
"Dia 95",7728
"Dia 96",7967
"Dia 97",8138
"Dia 98",8412
"Dia 99",8595
"Dia 100",8824
"Dia 101",8875
"Dia 102",8933
"Dia 103",9153
"Dia 104",9295
"Dia 105",9450
"Dia 106",9587
"Dia 107",9789
"Dia 108",9819
"Dia 109",9848
"Dia 110",10080
"Dia 111",10198
"Dia 112",10332
"Dia 113",10500
"Dia 114",10624
"Dia 115",10667
"Dia 116",10698
"Dia 117",10881
"Dia 118",10970
"Dia 119",11115
"Dia 120",11280
"Dia 121",11406
"Dia 122",11415
"Dia 123",11474
"Dia 124",11624
"Dia 125",11757
"Dia 126",11849
"Dia 127",11919
"Dia 128",12114
"Dia 129",12161
"Dia 130",12293
"Dia 131",12443
"Dia 132",12535
"Dia 133",12654
"Dia 134",12808
"Dia 135",12835
"Dia 136",12876
"Dia 137",13033
"Dia 138",13198
"Dia 139",13348
"Dia 140",13477
"Dia 141",13556
"Dia 142",13572
"Dia 143",13604
"Dia 144",13715
"Dia 145",13855
"Dia 146",13941
"Dia 147",14028
"Dia 148",14070
"Dia 149",14080
"Dia 150",14108
"Dia 151",14212
"Dia 152",14295
"Dia 153",14412
"Dia 154",14507
"Dia 155",14526
"Dia 156",14562
"Dia 157",14566
"Dia 158",14728
"Dia 159",14913
"Dia 160",15074
"Dia 161",15202
"Dia 162",15267
"Dia 163",15292
"Dia 164",15392
"Dia 165",15560
"Dia 166",15700
"Dia 167",15859
"Dia 168",16016
"Dia 169",16027